Wavelength,Flux,BestFit,SkyFlux
3967.345,15.292,13.745,5.344
3968.258,16.207,13.215,4.872
3969.173,16.977,13.387,4.221
3970.086,13.316,13.508,3.655
3971.002,13.366,13.199,3.552
3971.915,16.920,12.974,4.111
3972.831,14.405,12.825,5.005
3973.745,9.414,12.772,6.064
3974.659,13.800,12.840,7.097
3975.576,20.536,12.713,7.792
3976.490,15.860,13.267,8.112
3977.407,14.374,13.652,8.184
3978.322,16.395,13.818,8.211
3979.240,12.174,13.960,8.553
3980.155,13.345,14.196,8.951
3981.071,12.208,14.817,9.138
3981.989,23.766,15.905,8.822
3982.905,15.257,16.664,8.906
3983.823,15.757,16.519,8.792
3984.740,15.044,15.377,8.429
3985.659,16.306,13.862,7.850
3986.576,16.858,13.124,7.471
3987.493,14.557,12.362,7.589
3988.412,12.857,12.377,8.027
3989.330,12.813,12.881,8.298
3990.250,14.649,13.189,7.882
3991.168,12.063,13.005,7.197
3992.088,10.299,12.639,6.933
3993.006,14.464,12.162,7.078
3993.925,19.882,12.016,7.469
3994.846,14.042,11.884,7.703
3995.765,11.837,11.642,7.519
3996.686,13.382,11.406,6.959
3997.606,9.309,10.933,6.673
3998.528,8.449,10.890,7.263
3999.447,2.290,10.516,8.059
4000.368,11.308,9.831,8.271
4001.290,10.837,9.574,8.076
4002.211,8.323,10.490,8.065
4003.133,13.378,12.251,7.972
4004.054,14.701,12.850,7.332
4004.978,12.904,12.117,6.929
4005.899,9.147,10.868,7.403
4006.821,6.664,10.162,8.278
4007.745,10.427,10.364,8.883
4008.666,7.008,10.408,9.675
4009.591,13.125,10.584,11.185
4010.513,9.785,10.753,11.859
4011.438,8.411,11.172,10.896
4012.361,13.397,11.700,10.025
4013.284,12.222,11.932,9.980
4014.209,7.637,12.119,10.400
4015.133,9.409,12.257,10.440
4016.059,14.467,12.856,9.690
4016.983,14.363,13.255,9.208
4017.909,13.907,13.292,9.832
4018.833,10.704,13.237,10.065
4019.758,11.086,12.597,10.096
4020.685,9.219,12.914,10.485
4021.610,12.890,13.132,10.565
4022.537,14.770,13.169,10.212
4023.462,13.441,13.413,9.807
4024.390,17.036,13.935,9.758
4025.316,19.751,14.296,9.686
4026.242,14.221,14.129,9.063
4027.171,16.278,13.966,8.806
4028.097,16.115,14.048,8.970
4029.026,20.419,14.079,9.038
4029.953,16.343,13.902,8.376
4030.882,9.580,14.171,8.092
4031.809,12.903,13.911,8.133
4032.739,16.306,13.824,7.836
4033.667,12.895,13.608,7.253
4034.595,9.521,13.235,6.969
4035.525,12.924,13.136,7.153
4036.453,16.015,13.054,7.651
4037.384,10.416,12.944,8.412
4038.313,15.338,13.138,8.949
4039.244,15.951,13.194,8.917
4040.173,15.011,13.135,8.857
4041.103,14.842,13.124,8.790
4042.035,15.359,12.350,8.965
4042.965,14.570,12.328,9.960
4043.897,13.462,12.067,11.319
4044.827,12.897,11.314,12.481
4045.760,10.595,10.656,15.088
4046.691,10.700,10.278,22.003
4047.622,13.956,9.062,26.874
4048.555,2.307,8.313,24.443
