Wavelength,Flux,BestFit,SkyFlux
4586.696,15.812,13.626,6.860
4587.754,14.217,13.404,7.234
4588.809,10.601,13.517,7.266
4589.865,12.448,13.589,7.205
4590.923,12.007,13.461,7.741
4591.980,13.276,13.224,7.471
4593.038,10.307,13.274,6.897
4594.095,13.166,13.608,6.900
4595.154,12.443,13.778,7.060
4596.212,13.843,13.865,6.937
4597.269,14.434,13.848,6.749
4598.329,13.568,13.888,6.910
4599.387,14.109,13.782,7.110
4600.447,15.066,13.605,6.853
4601.506,15.158,13.796,6.308
4602.567,13.392,14.210,6.099
4603.626,11.532,14.744,6.312
4604.685,13.761,14.979,6.537
4605.747,15.033,14.821,6.660
4606.806,12.817,14.646,6.764
4607.868,16.417,14.817,6.334
4608.928,16.459,14.806,6.616
4609.991,12.144,14.933,7.104
4611.052,13.886,14.629,6.962
4612.113,13.288,14.225,6.800
4613.176,12.841,13.891,6.802
4614.237,13.721,13.405,6.736
4615.301,14.279,13.639,6.837
4616.363,14.337,14.228,6.988
4617.428,15.269,14.590,6.841
4618.490,13.655,14.766,6.567
4619.552,12.243,14.859,6.613
4620.618,15.141,14.698,6.924
4621.681,12.728,14.273,7.154
4622.746,14.096,14.126,6.803
4623.810,13.780,14.161,6.262
4624.876,14.434,14.263,6.697
4625.940,11.710,14.368,6.834
4627.004,14.689,14.376,6.556
4628.071,15.152,14.192,6.840
4629.136,13.770,14.035,6.956
4630.203,14.696,14.405,6.766
4631.268,13.498,14.858,6.668
4632.336,15.625,14.911,6.415
4633.402,15.225,14.709,6.157
4634.468,13.528,14.635,6.331
4635.537,13.443,14.639,6.446
4636.603,14.660,15.071,6.214
4637.672,16.035,15.423,6.237
4638.739,14.655,15.389,6.559
4639.809,12.594,15.319,6.453
4640.876,13.563,15.174,6.330
4641.944,15.205,15.110,6.507
4643.014,13.889,15.124,6.485
4644.082,14.961,15.067,6.575
4645.153,13.340,14.958,6.566
4646.222,15.947,14.960,6.267
4647.293,16.548,14.890,6.005
4648.362,15.360,14.633,6.157
4649.432,16.268,14.532,6.495
4650.504,16.341,14.521,6.719
4651.574,13.543,14.445,6.893
4652.646,14.101,14.429,6.939
4653.717,14.523,14.707,6.849
4654.790,13.798,14.728,6.694
4655.861,13.308,14.716,6.671
4656.934,13.770,14.553,7.130
4658.006,13.836,14.270,8.036
4659.077,10.895,14.161,8.738
4660.152,11.972,13.885,8.802
4661.224,12.421,13.510,8.870
4662.299,11.057,13.366,9.047
4663.371,12.068,13.382,8.726
4664.446,12.680,13.378,8.142
4665.520,15.601,13.452,8.292
4666.593,12.430,13.892,8.914
4667.669,14.274,13.446,8.839
4668.743,12.255,13.334,8.483
4669.819,13.555,13.683,8.984
4670.894,14.578,14.104,9.279
4671.971,14.088,14.518,9.643
4673.046,13.549,14.702,9.778
4674.121,13.268,14.589,9.596
4675.198,14.908,14.420,9.662
4676.274,16.007,14.468,9.377
4677.352,14.962,14.605,8.660
4678.428,14.043,14.475,8.401
4679.507,13.441,14.387,8.335
4680.584,16.545,14.371,7.692
4681.660,14.153,14.359,7.892
4682.740,14.409,14.161,8.304
4683.817,14.229,13.802,7.911
4684.897,13.693,13.612,7.827
4685.975,13.997,13.771,7.610
4687.056,14.482,13.919,7.953
4688.134,10.818,13.972,8.148
4689.212,16.023,13.916,7.797
4690.294,16.380,13.921,7.433
4691.373,12.887,14.198,7.288
4692.454,13.232,14.439,7.156
4693.534,14.992,14.733,7.147
4694.616,14.905,14.701,7.170
4695.696,14.413,14.865,7.030
4696.777,14.958,15.173,7.112
4697.860,14.906,14.800,7.215
4698.940,14.851,14.490,6.936
4700.024,15.433,14.223,6.727
4701.105,13.835,14.349,6.450
4702.189,15.968,14.764,6.016
4703.271,16.099,14.971,6.358
4704.353,14.442,14.743,6.697
4705.438,14.847,14.915,6.800
4706.520,15.229,14.710,7.026
4707.606,16.454,14.601,6.799
4708.689,14.322,14.746,6.751
4709.774,15.952,14.814,6.892
4710.858,17.554,14.605,7.383
4711.942,14.186,14.760,7.692
4713.028,13.447,14.603,7.306
4714.112,14.145,14.505,7.145
4715.199,13.189,14.311,7.430
4716.284,12.698,14.077,7.478
4717.372,13.294,14.181,7.092
4718.457,13.757,13.887,7.037
4719.542,13.380,13.831,7.204
4720.631,13.502,14.095,7.129
4721.717,14.333,14.274,7.036
4722.805,13.578,14.392,7.007
4723.892,15.738,14.796,7.337
4724.981,16.492,14.722,7.413
4726.068,14.190,14.505,7.574
4727.155,11.467,14.222,7.454
4728.246,12.732,14.118,7.089
4729.333,15.065,14.175,7.331
4730.424,13.651,14.088,7.645
4731.512,12.922,14.110,7.041
4732.603,12.619,14.253,6.967
4733.692,12.441,14.329,7.256
4734.781,14.304,14.314,7.149
4735.873,15.170,14.260,7.213
4736.962,14.221,14.225,7.590
4738.054,14.639,14.367,7.856
4739.144,14.659,14.658,7.866
4740.237,14.142,14.632,8.016
4741.328,14.396,14.512,7.977
4742.421,14.520,14.652,7.858
4743.512,12.940,14.929,8.382
4744.603,11.285,14.923,8.351
4745.697,15.256,15.105,7.950
4746.789,15.744,15.185,7.522
4747.884,15.241,15.098,6.973
4748.976,13.981,14.943,6.942
4750.071,12.510,14.777,7.321
4751.164,13.184,14.701,6.939
4752.257,16.424,14.821,6.988
4753.353,14.221,14.845,7.317
4754.446,15.044,14.735,7.553
4755.543,14.937,14.649,7.396
4756.637,13.751,14.702,6.734
4757.734,16.461,14.799,6.618
4758.828,14.341,14.939,6.869
4759.923,15.554,15.153,6.901
4761.020,16.657,15.138,6.750
4762.116,15.089,14.930,6.471
4763.214,14.781,14.933,6.047
4764.310,16.132,14.793,5.982
4765.408,17.085,14.675,6.188
4766.504,15.335,14.633,6.261
4767.601,12.914,14.792,6.451
4768.700,13.772,14.936,6.523
4769.797,14.048,14.702,6.414
4770.897,14.433,14.688,6.407
4771.995,15.286,14.445,6.196
4773.095,14.900,14.484,6.090
4774.193,13.820,14.533,6.415
4775.292,14.384,14.369,6.453
4776.393,16.257,14.308,6.408
4777.492,12.361,14.202,6.223
4778.593,12.917,14.539,6.310
4779.693,14.621,14.643,6.838
4780.795,13.992,14.623,6.829
4781.895,13.592,14.564,6.587
4782.995,12.954,14.138,6.299
4784.098,14.291,13.867,6.080
4785.198,13.315,13.574,6.127
4786.302,14.860,13.725,6.219
4787.403,16.215,14.058,6.211
4788.507,15.441,14.221,6.136
4789.608,14.508,14.319,6.103
4790.710,13.019,14.384,6.241
4791.815,13.310,14.344,6.539
4792.917,15.284,14.199,6.694
4794.022,14.015,14.196,6.699
4795.125,11.982,14.536,6.588
4796.231,15.579,15.004,6.604
4797.334,16.676,14.947,6.633
4798.438,13.980,15.084,6.400
4799.545,16.109,14.917,6.082
4800.649,16.111,14.587,6.553
4801.756,15.570,14.361,6.580
4802.860,16.145,14.102,6.424
4803.968,12.624,13.880,6.541
4805.073,13.517,13.631,6.983
4806.178,12.845,13.471,6.866
4807.287,13.855,13.539,6.647
4808.393,13.757,13.851,6.841
4809.501,14.216,14.229,6.727
4810.608,15.941,14.388,6.426
4811.717,15.546,14.228,6.485
4812.824,15.138,14.428,6.873
4813.931,13.764,14.670,6.857
4815.041,12.083,14.566,6.710
4816.149,14.340,14.441,6.960
4817.260,15.264,14.550,7.594
4818.368,13.173,14.421,8.121
4819.479,12.772,14.271,8.167
4820.588,11.363,14.288,8.184
4821.697,12.893,14.452,8.421
4822.809,15.950,14.651,8.342
4823.918,15.678,14.837,7.742
4825.030,15.293,14.848,7.657
4826.140,13.454,14.681,7.902
4827.253,16.562,14.541,7.795
4828.364,14.330,14.518,7.709
4829.477,14.000,14.469,7.867
4830.588,15.072,14.376,7.954
4831.699,16.952,14.362,7.777
4832.814,16.202,14.553,7.680
4833.925,17.338,14.688,8.031
4835.040,13.444,14.685,8.617
4836.152,13.674,14.713,8.456
4837.268,15.416,14.333,7.871
4838.380,15.125,14.033,8.325
4839.493,14.691,14.097,8.687
4840.609,14.589,14.160,8.300
4841.723,13.779,14.021,8.120
4842.840,13.004,13.954,7.973
4843.954,14.269,13.879,7.703
4845.071,14.828,13.959,7.570
4846.185,15.370,13.918,7.388
4847.300,14.423,13.880,7.344
4848.418,10.811,13.937,7.543
4849.533,11.597,13.942,7.384
4850.652,12.645,14.127,7.068
4851.767,14.764,14.221,6.888
4852.886,14.608,14.303,7.136
4854.003,15.352,14.172,7.834
4855.119,12.475,14.066,7.210
4856.239,14.168,14.513,6.206
4857.356,12.715,14.519,6.620
4858.476,11.633,14.460,6.646
4859.594,15.163,14.563,6.112
4860.714,14.943,14.745,6.238
4861.833,14.710,14.821,7.197
4862.951,14.807,14.742,7.562
4864.072,15.205,14.764,6.965
4865.191,12.828,14.741,6.269
4866.313,14.073,14.400,6.294
4867.433,13.068,14.063,6.383
4868.555,14.412,13.914,6.643
4869.675,14.647,13.727,7.042
4870.796,14.274,13.837,7.067
4871.919,13.029,14.071,6.834
4873.039,15.016,14.213,6.605
4874.163,14.454,14.289,6.434
4875.284,14.081,14.353,6.506
4876.409,14.744,14.347,6.715
4877.531,12.973,14.289,6.791
4878.653,12.895,14.295,6.884
4879.778,14.318,14.333,7.180
4880.900,15.234,14.321,7.474
4882.026,15.830,14.228,7.591
4883.149,15.980,14.162,7.671
4884.275,13.395,14.328,7.487
4885.398,14.799,14.492,7.132
4886.522,15.793,14.655,7.122
4887.649,15.604,14.711,7.103
4888.774,14.332,14.655,7.210
4889.901,12.588,14.676,7.440
4891.026,15.404,14.716,7.011
4892.154,16.569,14.497,6.915
4893.279,12.631,14.524,7.088
4894.405,13.773,14.534,7.043
4895.533,13.886,14.263,7.111
4896.660,12.934,14.101,7.367
4897.789,14.887,14.259,7.211
4898.916,14.297,14.303,7.146
4900.045,13.170,14.315,7.043
4901.172,13.721,14.237,6.676
4902.300,12.287,14.107,6.816
4903.430,13.595,14.052,6.837
4904.558,14.243,13.636,6.691
4905.689,14.192,13.560,7.177
4906.818,13.672,13.714,7.409
4907.950,12.567,13.818,7.101
4909.079,13.689,13.850,6.944
4910.208,15.524,14.030,6.901
4911.340,16.332,14.337,6.752
4912.470,14.658,14.382,6.641
4913.603,14.028,14.284,6.670
4914.733,15.876,14.302,6.740
4915.867,15.143,14.543,6.936
4916.997,14.665,14.797,7.168
4918.131,14.003,14.671,7.006
4919.263,14.680,14.647,6.461
4920.394,16.408,14.530,5.944
4921.529,14.518,14.430,5.906
4922.661,14.088,14.343,6.363
4923.796,14.816,14.053,6.560
4924.929,12.141,14.148,6.566
4926.065,12.284,14.308,6.701
4927.198,13.134,14.117,6.498
4928.331,14.584,13.997,5.937
4929.468,16.275,14.103,6.740
4930.602,12.582,13.954,7.229
4931.739,13.246,14.010,6.947
4932.873,16.177,14.146,7.138
4934.011,14.830,14.317,6.861
4935.146,13.564,14.573,6.377
4936.281,16.387,14.791,6.188
4937.420,14.385,14.781,6.560
4938.556,14.372,14.907,7.026
4939.694,14.235,14.484,7.015
4940.831,11.626,14.244,6.657
4941.970,14.941,14.205,6.650
4943.107,14.137,14.129,7.157
4944.244,15.182,14.204,7.085
4945.384,12.646,14.452,6.539
4946.522,13.426,14.296,6.373
4947.663,15.257,14.139,6.391
4948.801,14.867,14.116,6.461
4949.942,14.825,14.104,6.663
4951.081,15.594,14.080,6.838
4952.220,17.186,14.173,6.933
4953.362,15.215,14.154,7.229
4954.501,11.722,14.235,7.729
4955.644,13.138,14.316,7.739
4956.784,14.328,14.271,7.105
4957.927,14.582,14.284,6.572
4959.067,17.113,14.531,6.611
4960.208,15.597,14.490,6.860
4961.352,11.931,14.571,7.299
4962.493,13.035,14.668,7.371
4963.638,15.088,14.466,7.350
4964.779,14.924,14.067,7.449
4965.924,12.592,13.965,7.557
4967.067,12.127,13.961,7.825
4968.209,11.931,13.920,8.309
4969.355,14.718,13.950,8.505
4970.498,12.721,14.036,8.418
4971.644,13.356,13.925,8.513
4972.788,15.198,13.693,9.145
4973.935,13.035,13.773,9.181
4975.079,14.425,13.570,9.405
4976.224,12.411,13.483,9.758
4977.371,11.927,13.875,9.958
4978.516,15.271,14.118,10.313
4979.664,12.887,13.784,11.126
4980.810,12.916,13.836,11.820
4981.958,14.890,13.743,12.042
4983.104,14.955,13.517,12.346
4984.251,13.336,13.455,12.197
4985.400,15.024,13.477,12.323
4986.547,14.091,13.381,11.994
4987.697,14.849,13.473,11.335
4988.844,11.547,13.497,11.354
4989.995,12.883,13.404,10.945
4991.143,12.567,13.243,10.007
4992.291,13.710,12.984,9.630
4993.442,14.021,12.799,9.678
4994.591,14.737,12.993,9.270
4995.743,14.889,12.912,8.515
4996.892,14.094,12.526,8.182
4998.044,12.495,12.146,8.067
4999.194,12.166,11.904,7.873
5000.344,11.652,11.858,7.537
5001.497,10.931,12.007,7.337
5002.648,15.540,16.338,7.558
5003.801,28.952,26.871,7.720
5004.952,44.586,37.910,7.666
5006.106,41.665,37.929,7.441
5007.258,23.265,26.330,6.996
5008.413,13.466,15.942,6.993
5009.565,10.821,12.077,7.147
5010.717,11.707,11.848,7.232
5011.873,12.863,11.781,7.085
5013.026,10.821,11.944,6.722
5014.182,12.229,11.965,6.373
5015.335,12.520,11.959,6.682
5016.492,12.318,11.996,7.019
5017.646,12.336,12.178,6.705
5018.800,12.046,12.501,6.794
5019.958,11.797,12.770,6.890
5021.112,13.126,12.823,6.984
5022.270,14.073,12.973,6.887
5023.426,12.502,13.272,6.486
5024.584,13.154,13.489,6.563
5025.740,14.377,13.443,6.411
5026.896,12.181,13.235,6.081
5028.055,12.272,13.121,6.163
5029.212,12.216,13.066,6.644
5030.372,13.543,13.060,6.510
5031.529,13.090,13.019,6.667
5032.689,10.539,12.942,6.916
5033.847,11.651,12.954,6.599
5035.005,11.537,12.991,6.367
5036.166,14.010,12.859,6.200
5037.325,13.963,13.014,6.130
5038.486,15.485,13.497,6.108
5039.645,15.221,14.005,6.026
5040.807,14.945,14.323,5.866
5041.967,14.274,14.573,5.852
5043.127,14.080,14.361,5.996
5044.290,14.374,13.916,6.157
5045.450,13.978,13.733,6.211
5046.614,14.709,13.845,6.458
5047.775,14.182,13.796,6.449
5048.939,13.336,13.864,6.041
5050.100,14.611,14.033,5.984
5051.262,16.206,14.267,6.374
5052.427,13.209,14.306,6.505
5053.589,13.942,14.017,6.191
5054.754,13.383,13.659,6.319
5055.917,12.456,13.557,6.420
5057.083,13.857,13.513,6.216
5058.247,13.844,13.829,6.204
5059.410,13.852,14.058,6.375
5060.577,12.658,14.031,6.419
5061.741,13.496,14.223,6.324
5062.908,14.308,13.847,6.340
5064.073,12.758,13.279,6.539
5065.241,12.361,12.637,6.557
5066.406,14.467,12.454,6.400
5067.572,14.617,12.846,6.177
5068.740,12.125,13.101,6.427
5069.906,12.840,13.137,6.686
5071.075,15.016,13.214,6.966
5072.242,14.084,13.607,7.047
5073.412,14.077,14.086,6.457
5074.579,15.324,14.394,6.199
5075.746,14.181,14.545,6.468
5076.917,14.362,14.327,6.572
5078.084,12.123,14.189,6.548
5079.255,12.855,13.797,6.307
5080.424,13.865,13.505,6.316
5081.595,12.949,13.562,6.939
5082.764,13.525,13.473,7.734
5083.934,14.971,13.242,8.139
5085.106,15.374,13.285,8.461
5086.276,16.635,13.496,8.602
5087.449,14.850,13.804,8.363
5088.619,14.337,14.124,8.330
5089.793,12.411,14.276,7.695
5090.964,16.253,14.324,6.711
5092.135,15.306,14.344,6.882
5093.309,13.102,14.423,6.502
5094.481,14.543,14.505,6.437
5095.655,13.503,14.509,6.589
5096.828,12.999,14.499,6.697
5098.003,15.983,14.667,6.823
5099.176,13.226,14.412,6.649
5100.352,14.834,14.515,7.051
5101.525,13.755,14.584,7.174
5102.699,12.923,14.971,6.824
5103.875,13.534,17.683,6.568
5105.049,16.257,21.938,6.556
5106.227,18.175,23.729,6.369
5107.401,17.556,21.146,6.172
5108.579,12.659,17.077,6.350
5109.754,16.689,14.815,6.079
5110.930,14.540,14.364,6.072
5112.108,13.510,14.139,6.355
5113.284,13.350,13.634,6.330
5114.463,15.213,13.511,6.147
5115.640,11.457,13.665,6.392
5116.820,12.562,13.698,6.396
5117.997,13.948,13.705,6.334
5119.174,14.355,13.947,6.408
5120.355,15.476,14.063,6.446
5121.533,13.440,14.187,6.448
5122.714,12.192,14.202,6.362
5123.892,15.652,14.037,6.043
5125.074,13.529,13.917,6.108
5126.253,14.618,13.695,6.408
5127.432,13.211,13.393,5.710
5128.614,11.536,13.194,5.716
5129.794,13.252,13.074,6.120
5130.977,11.619,13.006,5.946
5132.157,11.591,13.145,6.426
5133.341,14.275,13.563,6.834
5134.522,12.322,13.843,6.960
5135.703,12.093,13.824,7.174
5136.887,13.910,13.764,7.088
5138.069,14.231,13.700,7.068
5139.254,13.724,13.432,6.901
5140.436,14.139,13.753,6.733
5141.621,13.642,13.645,6.652
5142.804,12.354,13.692,7.093
5143.987,14.470,13.911,6.939
5145.174,14.135,13.937,6.745
5146.357,16.324,13.763,6.977
5147.544,12.475,13.579,7.207
5148.728,12.714,13.649,7.301
5149.915,14.504,13.920,7.989
5151.100,13.426,14.470,8.275
5152.285,13.930,17.464,8.136
5153.473,18.548,25.953,8.683
5154.659,25.000,35.515,9.128
5155.847,24.346,37.031,9.407
5157.034,17.811,28.884,8.902
5158.223,15.205,19.244,8.236
5159.409,12.799,14.901,7.797
5160.596,11.772,13.790,7.278
5161.786,12.684,13.121,7.117
5162.974,15.432,13.229,6.928
5164.164,14.566,13.434,7.027
5165.352,11.759,13.333,6.839
5166.544,12.925,13.030,6.328
5167.732,11.807,12.863,5.939
5168.921,13.735,13.133,5.716
5170.113,15.044,13.243,5.805
5171.302,13.086,13.247,6.204
5172.495,13.721,13.412,5.978
5173.685,15.211,13.661,5.551
5174.878,13.737,13.582,5.839
5176.068,11.928,13.391,6.374
5177.259,13.496,13.321,6.523
5178.453,13.419,13.516,6.275
5179.644,14.909,13.708,6.050
5180.838,13.504,13.767,5.966
5182.030,14.387,13.965,5.807
5183.225,14.442,14.126,5.596
5184.418,14.084,13.789,5.442
5185.610,12.430,13.354,5.253
5186.806,13.602,13.135,5.806
5187.999,14.471,13.017,6.764
5189.196,13.732,12.725,7.099
5190.389,13.545,12.613,7.164
5191.586,13.175,12.647,7.144
5192.781,14.528,13.118,6.559
5193.978,13.718,13.720,6.187
5195.173,12.507,14.042,6.403
5196.368,13.465,14.111,6.507
5197.566,12.432,13.868,6.979
5198.762,13.650,13.328,8.374
5199.961,11.368,13.093,9.249
5201.157,13.225,13.219,8.970
5202.357,14.018,13.418,8.535
5203.553,13.989,13.585,8.092
5204.750,15.659,13.858,7.789
5205.951,11.556,13.825,7.172
5207.148,13.233,14.054,6.297
5208.349,16.247,14.225,6.283
5209.547,14.018,14.132,6.549
5210.748,14.924,14.379,6.616
5211.947,12.481,14.349,6.881
5213.146,14.704,13.821,7.072
5214.348,13.130,13.419,6.704
5215.548,13.726,13.344,6.564
5216.751,12.218,13.389,6.306
5217.951,12.324,13.437,6.355
5219.154,14.998,13.741,6.891
5220.355,12.903,13.656,7.181
5221.556,14.327,13.529,7.066
5222.760,13.306,13.502,6.834
5223.961,14.266,13.519,7.197
5225.166,12.471,13.586,7.710
5226.368,13.838,13.495,7.420
5227.573,14.376,13.508,6.461
5228.776,13.361,13.170,5.876
5229.978,12.446,12.832,6.016
5231.184,12.749,12.880,6.558
5232.388,13.436,12.937,6.778
5233.594,12.940,12.940,6.798
5234.798,12.055,13.268,6.555
5236.006,14.497,13.566,6.152
5237.210,15.331,13.607,6.127
5238.415,15.617,13.551,7.212
5239.623,14.492,13.663,8.301
5240.828,11.587,13.632,8.066
5242.037,14.282,13.675,7.140
5243.243,14.151,13.869,6.609
5244.452,14.827,14.041,6.404
5245.658,14.459,13.990,6.076
5246.865,14.781,13.730,6.055
5248.075,14.199,13.495,6.142
5249.282,12.605,13.040,6.259
5250.493,14.800,12.906,6.723
5251.701,15.535,13.270,6.993
5252.912,14.299,13.616,6.700
5254.120,12.787,13.390,6.441
5255.329,15.132,13.533,6.836
5256.541,13.096,13.371,7.857
5257.750,13.917,13.239,8.363
5258.962,13.353,13.282,8.040
5260.172,13.721,13.279,6.955
5261.385,12.857,13.128,6.309
5262.595,12.541,13.321,5.963
5263.806,13.288,13.606,5.864
5265.020,15.568,13.794,5.739
5266.231,14.105,13.795,5.386
5267.446,14.466,13.755,5.219
5268.657,16.073,13.957,5.333
5269.872,15.518,14.061,5.855
5271.085,12.009,13.855,6.069
5272.297,15.327,13.579,6.002
5273.513,14.570,13.417,6.170
5274.726,12.384,13.254,6.520
5275.942,13.538,12.916,6.794
5277.156,14.284,12.929,7.341
5278.373,14.277,12.957,7.301
5279.587,12.437,12.866,6.561
5280.805,12.403,12.762,6.193
5282.020,12.858,12.874,6.122
5283.235,13.236,13.208,6.062
5284.453,14.427,13.041,6.072
5285.669,14.414,13.361,6.408
5286.888,14.769,13.412,6.572
5288.104,12.798,13.183,6.543
5289.323,13.509,13.101,6.468
5290.540,14.738,13.070,6.109
5291.757,13.953,12.929,6.284
5292.977,13.367,12.927,6.674
5294.195,14.446,12.903,6.515
5295.416,13.784,12.970,6.671
5296.634,12.309,13.122,6.761
5297.856,13.334,13.013,6.444
5299.074,13.893,12.992,6.473
5300.293,13.082,12.882,7.083
5301.516,12.523,12.936,7.364
5302.735,12.592,13.031,6.949
5303.958,12.712,12.961,6.850
5305.178,12.671,12.881,6.963
5306.402,12.106,12.926,7.044
5307.622,12.836,13.083,6.983
5308.843,12.686,13.303,6.822
5310.067,13.238,13.524,7.183
5311.289,15.139,13.679,7.101
5312.514,15.742,13.704,7.193
5313.736,13.775,13.584,7.456
5314.961,13.340,13.404,7.136
5316.184,13.836,13.162,6.837
5317.407,12.620,12.732,6.973
5318.633,11.652,12.070,6.755
5319.857,12.961,11.374,6.822
5321.083,11.650,10.972,7.185
5322.308,10.707,11.205,7.115
5323.535,12.362,11.384,7.131
5324.760,12.833,11.280,7.170
5325.985,11.276,11.238,7.178
5327.213,11.899,11.653,6.968
5328.438,13.857,12.362,6.697
5329.667,13.338,12.886,6.656
5330.893,14.651,13.009,7.147
5332.122,14.184,13.084,7.857
5333.349,13.538,13.137,7.774
5334.576,13.334,12.575,7.144
5335.806,11.825,11.976,6.953
5337.033,11.487,11.182,7.365
5338.264,11.713,11.372,7.176
5339.492,11.978,12.243,6.787
5340.724,13.995,12.759,6.887
5341.952,14.285,12.796,6.753
5343.181,11.279,13.067,7.305
5344.413,14.364,12.999,7.260
5345.643,14.366,12.665,6.851
5346.875,12.685,12.447,6.837
5348.105,13.431,12.564,6.707
5349.339,12.700,12.912,7.049
5350.569,13.975,13.419,7.728
5351.800,14.063,13.998,7.859
5353.034,13.740,14.202,7.346
5354.266,13.533,14.120,6.839
5355.500,14.276,13.895,6.844
5356.732,15.773,13.361,7.610
5357.968,11.250,13.029,8.016
5359.200,11.768,12.500,7.447
5360.433,13.575,12.163,6.883
5361.669,12.699,12.182,7.157
5362.903,12.246,12.393,6.978
5364.139,14.015,12.632,6.525
5365.373,12.378,12.919,6.702
5366.611,14.881,13.144,6.395
5367.845,11.183,13.398,6.504
5369.080,12.715,13.401,6.647
5370.318,14.280,13.118,6.444
5371.554,12.397,13.127,6.370
5372.792,12.437,13.340,6.457
5374.028,13.451,13.505,6.685
5375.268,13.305,13.639,7.084
5376.504,14.661,13.603,7.311
5377.744,12.916,13.342,7.202
5378.981,11.340,13.017,6.962
5380.218,12.437,12.397,6.879
5381.459,11.443,12.125,7.006
5382.697,11.562,12.367,6.659
5383.938,15.821,12.852,6.120
5385.177,15.123,13.206,6.420
5386.419,12.932,13.291,6.640
5387.658,13.568,13.396,6.646
5388.897,12.350,13.147,6.746
5390.140,12.552,13.053,6.848
5391.380,14.550,13.333,6.878
5392.623,14.329,13.680,6.998
5393.864,13.118,13.707,7.007
5395.108,13.371,13.774,7.006
5396.349,14.536,13.863,6.549
5397.590,14.905,13.815,6.183
5398.835,14.942,13.754,6.186
5400.077,14.981,13.744,6.217
5401.322,14.345,13.574,6.323
5402.565,13.214,13.396,6.355
5403.810,14.257,13.131,6.562
5405.054,12.973,12.998,6.544
5406.297,10.958,13.027,6.379
5407.544,14.041,13.133,6.276
5408.788,11.692,13.293,6.486
5410.035,11.657,13.371,6.539
5411.280,16.565,13.326,6.562
5412.527,13.099,13.465,6.249
5413.773,13.421,13.784,6.446
5415.018,14.432,13.968,6.656
5416.267,15.807,13.756,6.525
5417.513,12.799,13.371,6.685
5418.762,12.619,12.751,6.597
5420.008,12.558,12.191,6.793
5421.258,11.368,11.946,6.787
5422.505,13.220,11.997,6.532
5423.753,12.226,12.081,6.718
5425.004,12.036,12.096,6.794
5426.252,12.068,11.969,6.503
5427.503,11.874,12.320,6.287
5428.752,13.557,12.822,6.256
5430.003,14.767,12.911,6.289
5431.253,12.137,12.858,6.511
5432.502,12.871,13.125,6.567
5433.755,15.022,13.449,6.954
5435.005,14.768,13.661,7.010
5436.258,12.381,13.656,6.700
5437.509,14.286,13.430,6.898
5438.763,13.438,13.184,7.103
5440.014,13.841,13.256,7.012
5441.265,12.731,13.538,7.255
5442.520,13.453,13.822,7.503
5443.772,13.877,13.966,7.247
5445.027,13.061,14.015,7.192
5446.280,14.202,14.155,7.183
5447.536,14.340,14.277,7.144
5448.789,13.794,14.280,7.120
5450.043,14.927,14.075,7.032
5451.299,15.047,13.782,7.102
5452.553,13.278,13.490,7.346
5453.811,14.185,13.112,7.105
5455.065,12.538,12.918,7.113
5456.323,13.877,13.270,7.184
5457.578,14.443,13.577,7.111
5458.834,14.884,13.666,8.474
5460.093,13.313,13.796,13.691
5461.349,12.378,14.059,29.568
5462.608,14.174,14.066,39.276
5463.865,13.222,14.121,30.887
5465.125,12.834,14.168,16.658
5466.382,14.751,14.211,10.874
5467.640,16.482,14.253,8.898
5468.900,14.889,14.184,8.375
5470.159,13.777,14.147,8.383
5471.420,13.966,14.028,8.057
5472.679,14.465,13.844,7.757
5473.941,13.792,13.783,7.734
5475.200,16.128,13.847,7.607
5476.463,15.171,13.780,7.446
5477.722,13.888,13.922,7.292
5478.982,15.940,13.840,7.279
5480.246,13.735,13.739,7.526
5481.507,10.921,13.509,7.684
5482.771,12.859,13.126,8.123
5484.032,13.170,12.995,9.017
5485.297,12.007,12.682,8.963
5486.558,13.489,12.450,8.596
5487.821,12.764,12.687,8.383
5489.086,13.041,13.171,7.813
5490.349,14.701,13.499,7.475
5491.615,14.552,13.700,7.669
5492.878,12.473,13.996,7.778
5494.145,16.636,13.865,7.279
5495.409,14.039,13.755,7.691
5496.673,12.985,13.737,7.683
5497.941,12.598,13.543,7.419
5499.205,13.419,13.215,7.790
5500.473,13.985,13.295,8.167
5501.739,13.545,13.544,8.038
5503.008,13.612,13.650,7.912
5504.274,14.473,13.636,7.531
5505.540,13.370,13.572,7.793
5506.809,14.216,13.387,7.739
5508.076,13.957,13.427,7.797
5509.346,14.056,13.745,8.013
5510.614,14.418,13.951,7.861
5511.884,15.526,14.131,7.888
5513.152,15.423,14.403,7.858
5514.421,15.074,14.444,8.038
5515.692,14.962,14.420,8.455
5516.961,13.621,14.427,8.360
5518.233,14.290,14.371,7.986
5519.503,13.799,14.170,7.793
5520.776,13.595,13.880,8.281
5522.046,13.627,13.680,8.786
5523.316,12.782,13.626,8.601
5524.590,15.821,13.558,7.870
5525.861,15.783,13.597,7.472
5527.135,14.513,13.547,8.185
5528.406,12.486,13.216,8.138
5529.681,11.761,12.929,7.951
5530.953,14.143,13.176,7.646
5532.226,11.883,13.473,7.602
5533.501,14.327,13.876,7.654
5534.774,14.383,14.047,7.712
5536.051,14.780,13.932,7.753
5537.324,15.330,14.174,7.808
5538.601,13.982,14.062,7.607
5539.875,13.977,13.827,7.554
5541.150,12.787,13.741,7.859
